timestamp,customer.id,direction,amount_usd,amount_signed,date,customer.name,customer.age,customer.gender,customer.address,customer.city,customer.state,customer.zip,score,total_debt,credit_limit,latitude,longitude,card.id,card.number,card.mcc,card.brand,card.type,card.chip,card.expiry_date,card.cvv,num_cards,merchant.name,merchant.city,merchant.state,error,is_fraud,is_known_merchant,seen_count_last_2_days,seen_count_mcc_last_2_days,seen_count_last_7_days,seen_count_mcc_last_7_days,seen_count_last_30_days,seen_count_mcc_last_30_days,log_timediff,same_city,same_state
1030861260,0,outbound,134.09,134.09,2002-09-01T06:21:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91750.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5300,Visa,Debit,Swipe Transaction,12/2022,623,5,3527213246127876953,La Verne,CA,,No,0,0,0,0,0,0,0,0.0,true,true
1030862520,0,outbound,38.48,38.48,2002-09-01T06:42:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91754.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5411,Visa,Debit,Swipe Transaction,12/2022,623,5,-727612092139916043,Monterey Park,CA,,No,0,0,0,0,0,0,0,7.13966033596492,false,true
1030947720,0,outbound,120.34,120.34,2002-09-02T06:22:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91754.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5411,Visa,Debit,Swipe Transaction,12/2022,623,5,-727612092139916043,Monterey Park,CA,,No,1,1,1,1,1,1,1,11.352768449837729,false,true
1030988700,0,outbound,128.95,128.95,2002-09-02T17:45:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91754.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5651,Visa,Debit,Swipe Transaction,12/2022,623,5,3414527459579106770,Monterey Park,CA,,No,0,0,0,0,0,0,0,10.620863823642551,false,true
1031034180,0,outbound,104.71,104.71,2002-09-03T06:23:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91750.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5912,Visa,Debit,Swipe Transaction,12/2022,623,5,5817218446178736267,La Verne,CA,,No,0,0,0,0,0,0,0,10.725049935309642,true,true
1031061180,0,outbound,86.19,86.19,2002-09-03T13:53:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91755.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5970,Visa,Debit,Swipe Transaction,12/2022,623,5,-7146670748125200898,Monterey Park,CA,,No,0,0,0,0,0,0,0,10.203629181337648,false,true
1031118660,0,outbound,93.84,93.84,2002-09-04T05:51:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91754.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5411,Visa,Debit,Swipe Transaction,12/2022,623,5,-727612092139916043,Monterey Park,CA,,No,1,1,1,2,2,2,2,10.95920973739723,false,true
1031119740,0,outbound,123.5,123.5,2002-09-04T06:09:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91754.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5411,Visa,Debit,Swipe Transaction,12/2022,623,5,-727612092139916043,Monterey Park,CA,,No,1,2,2,3,3,3,3,6.985641817639208,false,true
1031206440,0,outbound,61.72,61.72,2002-09-05T06:14:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91754.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5411,Visa,Debit,Swipe Transaction,12/2022,623,5,-727612092139916043,Monterey Park,CA,,No,1,2,2,4,4,4,4,5.707110264748875,false,true
1031218500,0,outbound,57.1,57.1,2002-09-05T09:35:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91750.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,7538,Visa,Debit,Swipe Transaction,12/2022,623,5,4055257078481058705,La Verne,CA,,No,0,0,0,0,0,0,0,9.397732385583243,true,true
1031257080,0,outbound,76.07,76.07,2002-09-05T20:18:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91750.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5814,Visa,Debit,Swipe Transaction,12/2022,623,5,-4500542936415012428,La Verne,CA,,No,0,0,0,0,0,0,0,10.560515206289688,true,true
1031258460,0,outbound,53.91,53.91,2002-09-05T20:41:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,4900,Visa,Debit,Online Transaction,12/2022,623,5,-9092677072201095172,ONLINE,,,No,0,0,0,0,0,0,0,7.2305631534092925,false,false
1031292960,0,outbound,110.37,110.37,2002-09-06T06:16:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91752.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5541,Visa,Debit,Swipe Transaction,12/2022,623,5,2027553650310142703,Mira Loma,CA,,No,0,0,0,0,0,0,0,10.448743588106625,false,true
1031379360,0,outbound,117.05,117.05,2002-09-07T06:16:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91754.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5411,Visa,Debit,Swipe Transaction,12/2022,623,5,-727612092139916043,Monterey Park,CA,,No,1,0,0,5,5,5,5,0.0,false,true
1031380440,0,outbound,45.3,45.3,2002-09-07T06:34:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91755.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5942,Visa,Debit,Swipe Transaction,12/2022,623,5,-5475680618560174533,Monterey Park,CA,,No,0,0,0,0,0,0,0,6.985641817639208,false,true
1031391540,0,outbound,29.34,29.34,2002-09-07T09:39:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91750.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,7538,Visa,Debit,Swipe Transaction,12/2022,623,5,4055257078481058705,La Verne,CA,,No,1,0,0,1,1,1,1,9.314790473332646,true,true
1031465400,0,outbound,147.45,147.45,2002-09-08T06:10:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91750.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5912,Visa,Debit,Swipe Transaction,12/2022,623,5,-34551508091458520,La Verne,CA,,No,0,0,0,0,1,0,1,11.209940227442981,true,true
1031467080,0,outbound,27.75,27.75,2002-09-08T06:38:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91750.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5411,Visa,Debit,Swipe Transaction,12/2022,623,5,4060646732831064559,La Verne,CA,,No,0,0,1,0,6,0,6,7.427144133408616,true,true
1031492880,0,outbound,76.57,76.57,2002-09-08T13:48:00.000000000,Hazel Robinson,53,Female,462 Rose Lane,La Verne,CA,91754.0,787,127613.0,24295.0,34.15,-117.76,0,4344676511950444,5411,Visa,Debit,Swipe Transaction,12/2022,623,5,-727612092139916043,Monterey Park,CA,,No,1,1,2,5,6,6,7,10.158168529848494,false,true
